db_id,count,base_no_evidence_ex,base_with_evidence_ex,sft_no_evidence_ex,sft_with_evidence_ex,evidence_delta_base,evidence_delta_sft,sft_delta_no_evidence,sft_delta_with_evidence,interaction_delta
california_schools,30,0.1,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.0
card_games,52,0.19230769230769232,0.5961538461538461,0.23076923076923078,0.46153846153846156,0.40384615384615385,0.23076923076923078,0.038461538461538464,-0.13461538461538458,-0.17307692307692307
codebase_community,49,0.3469387755102041,0.40816326530612246,0.4489795918367347,0.46938775510204084,0.06122448979591838,0.020408163265306145,0.10204081632653061,0.06122448979591838,-0.040816326530612235
debit_card_specializing,30,0.2,0.4666666666666667,0.16666666666666666,0.43333333333333335,0.26666666666666666,0.2666666666666667,-0.033333333333333354,-0.033333333333333326,5.551115123125783e-17
european_football_2,51,0.35294117647058826,0.6078431372549019,0.35294117647058826,0.6666666666666666,0.25490196078431365,0.31372549019607837,0.0,0.05882352941176472,0.05882352941176472
financial,32,0.03125,0.375,0.0625,0.28125,0.34375,0.21875,0.03125,-0.09375,-0.125
formula_1,66,0.3181818181818182,0.42424242424242425,0.25757575757575757,0.3787878787878788,0.10606060606060608,0.12121212121212122,-0.06060606060606061,-0.04545454545454547,0.015151515151515138
student_club,48,0.5416666666666666,0.75,0.5208333333333334,0.7291666666666666,0.20833333333333337,0.20833333333333326,-0.02083333333333326,-0.02083333333333337,-1.1102230246251565e-16
superhero,52,0.5,0.7307692307692307,0.4230769230769231,0.6923076923076923,0.23076923076923073,0.2692307692307692,-0.07692307692307693,-0.038461538461538436,0.03846153846153849
thrombosis_prediction,50,0.06,0.48,0.08,0.44,0.42,0.36,0.020000000000000004,-0.03999999999999998,-0.06
toxicology,40,0.1,0.3,0.125,0.275,0.19999999999999998,0.15000000000000002,0.024999999999999994,-0.024999999999999967,-0.04999999999999996
