difficulty,count,experiment,condition,ex_at_1,oracle_at_3,oracle_at_5,oracle_gain_3_vs_1,oracle_gain_5_vs_1
challenging,102,baseline_no_evidence,Base / No evidence,0.11764705882352941,0.16666666666666666,0.20588235294117646,0.04901960784313725,0.08823529411764705
challenging,102,baseline_with_evidence,Base / Evidence,0.3333333333333333,0.4117647058823529,0.4803921568627451,0.0784313725490196,0.1470588235294118
challenging,102,sft_no_evidence,Original SFT / No evidence,0.13725490196078433,0.20588235294117646,0.22549019607843138,0.06862745098039214,0.08823529411764705
challenging,102,sft_with_evidence,Original SFT / Evidence,0.3333333333333333,0.46078431372549017,0.5,0.12745098039215685,0.16666666666666669
challenging,102,targeted_sft_no_evidence,Targeted SFT / No evidence,0.14705882352941177,0.20588235294117646,0.22549019607843138,0.05882352941176469,0.0784313725490196
challenging,102,targeted_sft_with_evidence,Targeted SFT / Evidence,0.30392156862745096,0.43137254901960786,0.4803921568627451,0.1274509803921569,0.17647058823529416
moderate,250,baseline_no_evidence,Base / No evidence,0.224,0.284,0.32,0.05999999999999997,0.096
moderate,250,baseline_with_evidence,Base / Evidence,0.476,0.52,0.572,0.04400000000000004,0.09599999999999997
moderate,250,sft_no_evidence,Original SFT / No evidence,0.196,0.292,0.344,0.09599999999999997,0.14799999999999996
moderate,250,sft_with_evidence,Original SFT / Evidence,0.408,0.5,0.544,0.09200000000000003,0.13600000000000007
moderate,250,targeted_sft_no_evidence,Targeted SFT / No evidence,0.208,0.292,0.368,0.08399999999999999,0.16
moderate,250,targeted_sft_with_evidence,Targeted SFT / Evidence,0.376,0.508,0.548,0.132,0.17200000000000004
simple,148,baseline_no_evidence,Base / No evidence,0.4527027027027027,0.5067567567567568,0.5540540540540541,0.05405405405405411,0.10135135135135137
simple,148,baseline_with_evidence,Base / Evidence,0.668918918918919,0.722972972972973,0.7567567567567568,0.05405405405405406,0.08783783783783783
simple,148,sft_no_evidence,Original SFT / No evidence,0.4864864864864865,0.581081081081081,0.6081081081081081,0.09459459459459452,0.1216216216216216
simple,148,sft_with_evidence,Original SFT / Evidence,0.6891891891891891,0.7364864864864865,0.7635135135135135,0.04729729729729737,0.07432432432432434
simple,148,targeted_sft_no_evidence,Targeted SFT / No evidence,0.5,0.581081081081081,0.6013513513513513,0.08108108108108103,0.10135135135135132
simple,148,targeted_sft_with_evidence,Targeted SFT / Evidence,0.6418918918918919,0.7162162162162162,0.7567567567567568,0.07432432432432434,0.11486486486486491
